stop_id,stop_lon,stop_lat
748,-79.389991,43.708536
749,-79.261528,43.796506
750,-79.405063,43.702134
751,-79.363371,43.652556
752,-79.474414,43.767047
753,-79.277949,43.74876
755,-79.539566,43.740185
756,-79.558316,43.694487
757,-79.46439,43.663871
758,-79.347458,43.647582
759,-79.552533,43.738805
760,-79.309127,43.672756
761,-79.279673,43.850231
762,-79.438783,43.66854
763,-79.238185,43.756956
764,-79.35214,43.664096
766,-79.415962,43.676626
767,-79.558873,43.694072
768,-79.513248,43.738911
769,-79.572034,43.693836
770,-79.354328,43.790373
771,-79.32483,43.780401
772,-79.518539,43.711073
774,-79.530948,43.662257
777,-79.593932,43.742028
778,-79.310704,43.708139
779,-79.521937,43.641412
780,-79.347563,43.685846
781,-79.483974,43.75402
782,-79.217674,43.740623
783,-79.449872,43.648639
784,-79.38026,43.692921
786,-79.348424,43.801462
787,-79.550939,43.665524
788,-79.371128,43.658793
789,-79.618849,43.723541
790,-79.322,43.679678
791,-79.47281,43.690592
792,-79.275892,43.771997
794,-79.429661,43.644682
795,-79.311412,43.808458
796,-79.403202,43.705641
797,-79.230855,43.758785
798,-79.193109,43.785187
799,-79.422528,43.643393
800,-79.267739,43.787581
802,-79.385637,43.75459
803,-79.328255,43.704395
804,-79.407767,43.675731
805,-79.399869,43.647951
806,-79.342165,43.815581
807,-79.567698,43.646775
808,-79.259546,43.873549
809,-79.363431,43.771591
810,-79.411298,43.655822
811,-79.175848,43.770643
812,-79.368357,43.658961
813,-79.367798,43.803048
814,-79.390475,43.663459
815,-79.495269,43.676316
816,-79.429769,43.652817
817,-79.480571,43.662105
818,-79.451366,43.665626
819,-79.270951,43.713521
820,-79.275525,43.830837
821,-79.560871,43.727108
822,-79.172674,43.782122
823,-79.234801,43.781656
824,-79.532489,43.696286
825,-79.18886,43.775468
826,-79.362657,43.702915
827,-79.324491,43.740918
828,-79.460776,43.663915
829,-79.293772,43.903281
830,-79.47105,43.706257
831,-79.244464,43.746255
